run_id,stage,candidate,shape_id,category,local_rows,K,N,q,window,repetition,exit_code,case_dir,timestamp_utc
stage1_A_DEFAULT_S2_m2048k1024n2048_q2w0_rep4,A,DEFAULT,S2,comm_heavy,2048,1024,2048,2,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q2w0_rep4,2026-09-03T01:58:52Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q2w0_rep5,A,DEFAULT,S2,comm_heavy,2048,1024,2048,2,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q2w0_rep5,2026-09-03T01:59:12Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q4w0_rep1,A,DEFAULT,S2,comm_heavy,2048,1024,2048,4,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q4w0_rep1,2026-09-03T01:59:31Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q4w0_rep2,A,DEFAULT,S2,comm_heavy,2048,1024,2048,4,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q4w0_rep2,2026-09-03T01:59:51Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q4w0_rep3,A,DEFAULT,S2,comm_heavy,2048,1024,2048,4,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q4w0_rep3,2026-09-03T02:00:10Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q4w0_rep4,A,DEFAULT,S2,comm_heavy,2048,1024,2048,4,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q4w0_rep4,2026-09-03T02:00:30Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q4w0_rep5,A,DEFAULT,S2,comm_heavy,2048,1024,2048,4,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q4w0_rep5,2026-09-03T02:00:50Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q8w0_rep1,A,DEFAULT,S2,comm_heavy,2048,1024,2048,8,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q8w0_rep1,2026-09-03T02:01:09Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q8w0_rep2,A,DEFAULT,S2,comm_heavy,2048,1024,2048,8,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q8w0_rep2,2026-09-03T02:01:29Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q8w0_rep3,A,DEFAULT,S2,comm_heavy,2048,1024,2048,8,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q8w0_rep3,2026-09-03T02:01:49Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q8w0_rep4,A,DEFAULT,S2,comm_heavy,2048,1024,2048,8,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q8w0_rep4,2026-09-03T02:02:09Z
