stage,candidate,shape_id,category,local_rows,K,N,q,window,repetition,strategy,status,correctness,M_global,slice_bytes,release_first_mean_us,release_last_mean_us,done_mean_us,gemm_first_mean_us,gemm_last_mean_us,e2e_mean_us,e2e_p50_us,e2e_p95_us,run_id
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,3,B1_SLICE_SERIAL,PASS,1,16384,4194304,287.946880758,1734.93056297,1738.88704777,292.32831955,1846.68672562,1850.62975407,1816.79999828,2019.00792122,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,3,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,4194304,263.872638941,1150.29376507,1154.24575567,269.756160676,1323.96991014,1327.91230917,1307.80804157,1408.03194046,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,4,B0_FULL_SERIAL,PASS,1,16384,4194304,589.311358929,589.311358929,620.859516263,624.795516729,1214.68096614,1218.6323154,1136.73603535,1882.1439743,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,4,B1_SLICE_SERIAL,PASS,1,16384,4194304,472.271999419,1904.34752941,1908.29568148,476.626561284,2016.36801004,2020.33023596,2015.36011696,2286.43202782,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,4,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,4194304,448.31807971,1338.73024464,1342.80128479,454.24256146,1513.16223621,1517.13600397,1492.9920435,1603.90400887,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,5,B0_FULL_SERIAL,PASS,1,16384,4194304,522.158718109,522.158718109,552.943999171,556.803839207,1119.72735524,1123.5839963,1065.40799141,1277.50396729,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,5,B1_SLICE_SERIAL,PASS,1,16384,4194304,373.832316399,1814.69631433,1818.6361599,378.209920526,1926.66942596,1930.6227231,1907.68003464,2121.47188187,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,5,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,4194304,336.620797217,1223.68895769,1227.67871857,342.604800463,1396.52799845,1400.48320532,1349.59995747,1582.39996433,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,1,B0_FULL_SERIAL,PASS,1,16384,2097152,574.45311904,574.45311904,633.8137573,637.521921992,1166.08703852,1169.81951475,1146.11196518,1308.28797817,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,1,B1_SLICE_SERIAL,PASS,1,16384,2097152,421.950718164,2268.25600863,2272.23167181,426.347520649,2343.69665146,2347.65376091,2347.80788422,2572.28803635,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,2097152,259.10207957,1386.12032175,1390.15041351,264.97215867,1503.46494913,1507.4118495,1510.78402996,1617.18404293,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,2,B0_FULL_SERIAL,PASS,1,16384,2097152,501.886079907,501.886079907,560.309116244,563.96928072,1072.197119,1075.86431861,1053.05600166,1214.01596069,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,2,B1_SLICE_SERIAL,PASS,1,16384,2097152,352.074240446,2212.38399744,2216.33600712,356.431359053,2287.79006958,2291.72737122,2303.48801613,2431.13589287,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,2,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,2097152,358.683518767,1490.3059268,1494.28544998,364.63231951,1608.41407776,1612.33791351,1616.7999506,1728.32000256,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,3,B0_FULL_SERIAL,PASS,1,16384,2097152,512.272641063,512.272641063,575.310080051,579.248641133,1169.18272018,1173.11936021,1173.88796806,1294.080019,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,3,B1_SLICE_SERIAL,PASS,1,16384,2097152,320.523518026,2172.19839334,2176.17215633,324.925438762,2247.66079903,2251.60703659,2248.86393547,2353.08790207,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep3
