case_id,mode,rank,npes,epoch,slot,payload_bytes,issue_to_comm_stream_complete_us,issue_to_release_us,issue_to_checked_us,checksum_mismatches,iteration_status
A3_credit_slot4_1M,put_signal,2,4,86,1,1048576,75.296,86.528,116.960,0,PASS
A3_credit_slot4_1M,put_signal,2,4,87,2,1048576,59.680,71.168,102.464,0,PASS
A3_credit_slot4_1M,put_signal,2,4,88,3,1048576,63.744,74.944,106.144,0,PASS
A3_credit_slot4_1M,put_signal,2,4,89,0,1048576,75.264,86.464,118.176,0,PASS
A3_credit_slot4_1M,put_signal,2,4,90,1,1048576,57.696,71.200,101.920,0,PASS
A3_credit_slot4_1M,put_signal,2,4,91,2,1048576,60.672,71.840,103.040,0,PASS
A3_credit_slot4_1M,put_signal,2,4,92,3,1048576,70.304,81.504,112.288,0,PASS
A3_credit_slot4_1M,put_signal,2,4,93,0,1048576,60.000,71.264,103.104,0,PASS
A3_credit_slot4_1M,put_signal,2,4,94,1,1048576,69.888,81.280,111.776,0,PASS
A3_credit_slot4_1M,put_signal,2,4,95,2,1048576,68.352,79.520,110.944,0,PASS
A3_credit_slot4_1M,put_signal,2,4,96,3,1048576,50.656,62.336,93.312,0,PASS
A3_credit_slot4_1M,put_signal,2,4,97,0,1048576,63.168,74.336,106.144,0,PASS
A3_credit_slot4_1M,put_signal,2,4,98,1,1048576,59.552,71.008,101.504,0,PASS
A3_credit_slot4_1M,put_signal,2,4,99,2,1048576,72.704,84.320,115.680,0,PASS
A3_credit_slot4_1M,put_signal,2,4,100,3,1048576,61.952,73.152,103.424,0,PASS
A3_credit_slot4_1M,put_signal,2,4,101,0,1048576,68.384,79.584,110.624,0,PASS
A3_credit_slot4_1M,put_signal,2,4,102,1,1048576,60.320,71.712,101.824,0,PASS
A3_credit_slot4_1M,put_signal,2,4,103,2,1048576,53.216,64.448,100.608,0,PASS
A3_credit_slot4_1M,put_signal,2,4,104,3,1048576,67.456,78.656,109.248,0,PASS
A3_credit_slot4_1M,put_signal,2,4,105,0,1048576,71.584,82.784,113.536,0,PASS
A3_credit_slot4_1M,put_signal,2,4,106,1,1048576,68.864,80.288,111.232,0,PASS
A3_credit_slot4_1M,put_signal,2,4,107,2,1048576,60.544,71.744,102.976,0,PASS
A3_credit_slot4_1M,put_signal,2,4,108,3,1048576,65.216,76.384,108.096,0,PASS
A3_credit_slot4_1M,put_signal,2,4,109,0,1048576,72.608,83.808,114.656,0,PASS
A3_credit_slot4_1M,put_signal,2,4,110,1,1048576,60.640,71.808,102.656,0,PASS
A3_credit_slot4_1M,put_signal,2,4,111,2,1048576,67.744,78.944,110.624,0,PASS
A3_credit_slot4_1M,put_signal,2,4,112,3,1048576,61.888,73.056,104.352,0,PASS
A3_credit_slot4_1M,put_signal,2,4,113,0,1048576,70.336,81.536,111.904,0,PASS
A3_credit_slot4_1M,put_signal,2,4,114,1,1048576,70.944,82.144,112.640,0,PASS
