strategy,iteration,rank,q,slice,t_release_us
B0_FULL_SERIAL,45,0,8,0,916.863977909
B0_FULL_SERIAL,45,0,8,1,920.736014843
B0_FULL_SERIAL,45,0,8,2,924.672007561
B0_FULL_SERIAL,45,0,8,3,928.575992584
B0_FULL_SERIAL,45,0,8,4,932.511985302
B0_FULL_SERIAL,45,0,8,5,936.415970325
B0_FULL_SERIAL,45,0,8,6,940.320014954
B0_FULL_SERIAL,45,0,8,7,944.256007671
B0_FULL_SERIAL,46,0,8,0,880.288004875
B0_FULL_SERIAL,46,0,8,1,884.223997593
B0_FULL_SERIAL,46,0,8,2,888.127982616
B0_FULL_SERIAL,46,0,8,3,892.032027245
B0_FULL_SERIAL,46,0,8,4,895.936012268
B0_FULL_SERIAL,46,0,8,5,899.872004986
B0_FULL_SERIAL,46,0,8,6,903.775990009
B0_FULL_SERIAL,46,0,8,7,907.679975033
B0_FULL_SERIAL,47,0,8,0,893.311977386
B0_FULL_SERIAL,47,0,8,1,897.311985493
B0_FULL_SERIAL,47,0,8,2,901.215970516
B0_FULL_SERIAL,47,0,8,3,905.152022839
B0_FULL_SERIAL,47,0,8,4,909.056007862
B0_FULL_SERIAL,47,0,8,5,912.959992886
B0_FULL_SERIAL,47,0,8,6,916.863977909
B0_FULL_SERIAL,47,0,8,7,920.768022537
B0_FULL_SERIAL,48,0,8,0,885.663986206
B0_FULL_SERIAL,48,0,8,1,889.56797123
B0_FULL_SERIAL,48,0,8,2,893.472015858
B0_FULL_SERIAL,48,0,8,3,897.408008575
B0_FULL_SERIAL,48,0,8,4,901.311993599
B0_FULL_SERIAL,48,0,8,5,905.247986317
B0_FULL_SERIAL,48,0,8,6,909.15197134
B0_FULL_SERIAL,48,0,8,7,913.056015968
B0_FULL_SERIAL,49,0,8,0,881.856024265
B0_FULL_SERIAL,49,0,8,1,885.792016983
B0_FULL_SERIAL,49,0,8,2,889.696002007
B0_FULL_SERIAL,49,0,8,3,893.631994724
B0_FULL_SERIAL,49,0,8,4,897.567987442
B0_FULL_SERIAL,49,0,8,5,901.471972466
B0_FULL_SERIAL,49,0,8,6,905.376017094
B0_FULL_SERIAL,49,0,8,7,909.312009811
B1_SLICE_SERIAL,0,0,8,0,223.680004478
B1_SLICE_SERIAL,0,0,8,1,5004.76789474
B1_SLICE_SERIAL,0,0,8,2,9779.6163559
B1_SLICE_SERIAL,0,0,8,3,14571.0401535
B1_SLICE_SERIAL,0,0,8,4,19344.959259
B1_SLICE_SERIAL,0,0,8,5,24119.9359894
B1_SLICE_SERIAL,0,0,8,6,28905.248642
B1_SLICE_SERIAL,0,0,8,7,33680.7670593
B1_SLICE_SERIAL,1,0,8,0,210.368007421
B1_SLICE_SERIAL,1,0,8,1,4982.33604431
B1_SLICE_SERIAL,1,0,8,2,9753.79180908
