candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us
C0_DEFAULT,4096,2,R1_EVENT_OVERLAP,NCCL,5,556.928,8002.288,553.376,7999.680,8010.032,7445.360,7445.360,3.595
C0_DEFAULT,4096,2,RS_SLICE_SERIAL,NCCL,5,4309.616,8071.200,4306.064,8067.952,8072.432,3761.584,3761.584,1.540
C0_DEFAULT,4096,4,COMM_ONLY,NCCL,5,613.632,617.040,610.144,617.008,617.280,3.408,3.408,0.112
C0_DEFAULT,4096,4,D0_FCOLLECT_SERIAL,NVSHMEM,5,500.368,7856.512,496.976,7855.216,7858.368,7356.144,7356.144,1.031
C0_DEFAULT,4096,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,5,2432.672,8269.472,3920.032,8264.640,8272.449,5836.800,5836.800,2.952
C0_DEFAULT,4096,4,D1_PUSHSIG_OVERLAP,NVSHMEM,5,2383.600,8182.816,6221.024,8176.672,8186.528,5799.216,5799.216,3.293
C0_DEFAULT,4096,4,DC_PUSHSIG_ONLY,NVSHMEM,5,706.256,709.312,705.872,699.808,718.192,3.056,3.056,5.912
C0_DEFAULT,4096,4,DS_PUSHSIG_SERIAL,NVSHMEM,5,6617.952,8575.023,6616.832,8571.104,8579.665,1957.071,1957.071,3.027
C0_DEFAULT,4096,4,FC_FCOLLECT_ONLY,NVSHMEM,5,496.544,503.792,500.320,503.520,503.904,7.248,7.248,0.127
C0_DEFAULT,4096,4,GEMM_ONLY,NCCL,5,7844.704,7848.144,0.000,7847.024,7849.072,3.440,3.440,0.770
C0_DEFAULT,4096,4,R0_FULL_SERIAL,NCCL,5,500.288,7854.064,496.800,7851.920,7863.552,7353.776,7353.776,4.182
C0_DEFAULT,4096,4,R1_EVENT_OVERLAP,NCCL,5,2437.680,8239.904,2434.192,8238.129,8245.648,5802.224,5802.224,2.620
C0_DEFAULT,4096,4,RS_SLICE_SERIAL,NCCL,5,6500.816,8448.863,6497.376,8447.856,8456.592,1948.047,1948.047,3.253
C0_DEFAULT,4096,8,COMM_ONLY,NCCL,5,791.408,794.864,787.984,792.464,801.168,3.456,3.456,3.227
C0_DEFAULT,4096,8,D0_FCOLLECT_SERIAL,NVSHMEM,5,500.416,7857.424,497.024,7856.000,7858.608,7357.008,7357.008,0.867
C0_DEFAULT,4096,8,D1W_WAITSTREAM_OVERLAP,NVSHMEM,5,5396.256,8566.064,5450.128,8549.648,8579.936,3169.808,3169.808,11.572
C0_DEFAULT,4096,8,D1_PUSHSIG_OVERLAP,NVSHMEM,5,4362.560,8351.968,7349.248,8348.927,8355.936,3989.408,3989.408,2.939
C0_DEFAULT,4096,8,DC_PUSHSIG_ONLY,NVSHMEM,5,786.736,791.744,788.256,789.216,794.448,5.008,5.008,1.962
C0_DEFAULT,4096,8,DS_PUSHSIG_SERIAL,NVSHMEM,5,7889.520,8888.432,7889.408,8887.440,8901.841,998.912,998.912,5.410
C0_DEFAULT,4096,8,FC_FCOLLECT_ONLY,NVSHMEM,5,496.064,503.312,499.840,502.944,504.400,7.248,7.248,0.602
C0_DEFAULT,4096,8,GEMM_ONLY,NCCL,5,7947.264,7950.704,0.000,7948.560,7951.616,3.440,3.440,1.168
C0_DEFAULT,4096,8,R0_FULL_SERIAL,NCCL,5,499.952,7857.520,496.528,7853.792,7859.168,7357.568,7357.568,1.819
C0_DEFAULT,4096,8,R1_EVENT_OVERLAP,NCCL,5,5218.496,8565.232,5214.560,8483.136,8588.336,3346.736,3346.736,45.547
C0_DEFAULT,4096,8,RS_SLICE_SERIAL,NCCL,5,7850.208,8838.704,7846.784,8828.033,8841.232,988.496,988.496,4.914
C0_DEFAULT,4096,16,COMM_ONLY,NCCL,5,1210.256,1213.776,1206.784,1211.984,1216.784,3.520,3.520,1.788
C0_DEFAULT,4096,16,R1_EVENT_OVERLAP,NCCL,5,7635.600,8620.080,7631.920,8615.760,8627.856,984.480,984.480,3.947
C2_RING_SIMPLE_CH8,512,2,COMM_ONLY,NCCL,5,568.112,571.536,564.544,570.576,572.048,3.424,3.424,0.512
C2_RING_SIMPLE_CH8,512,2,R1_EVENT_OVERLAP,NCCL,5,596.768,1378.016,593.360,1377.248,1378.544,781.248,781.248,0.422
C2_RING_SIMPLE_CH8,512,4,COMM_ONLY,NCCL,5,676.608,680.128,673.168,679.072,683.296,3.520,3.520,1.442
C2_RING_SIMPLE_CH8,512,4,R1_EVENT_OVERLAP,NCCL,5,894.944,1387.616,891.360,1386.304,1391.008,492.672,492.672,1.566
C2_RING_SIMPLE_CH8,512,8,COMM_ONLY,NCCL,5,888.224,891.744,884.752,888.496,898.832,3.520,3.520,3.883
C2_RING_SIMPLE_CH8,512,8,R1_EVENT_OVERLAP,NCCL,5,1334.688,1589.152,1331.152,1585.168,1589.536,254.464,254.464,1.625
C2_RING_SIMPLE_CH8,2048,2,COMM_ONLY,NCCL,5,594.320,597.728,590.880,597.168,598.992,3.408,3.408,0.610
C2_RING_SIMPLE_CH8,2048,2,R1_EVENT_OVERLAP,NCCL,5,640.352,4436.320,636.976,4432.848,4437.392,3795.968,3795.968,1.667
C2_RING_SIMPLE_CH8,2048,4,COMM_ONLY,NCCL,5,708.032,711.424,704.576,705.712,712.400,3.392,3.392,2.901
C2_RING_SIMPLE_CH8,2048,4,R1_EVENT_OVERLAP,NCCL,5,1375.168,4301.552,1371.792,4300.688,4302.224,2926.384,2926.384,0.520
C2_RING_SIMPLE_CH8,2048,8,COMM_ONLY,NCCL,5,920.976,924.432,917.520,922.640,925.648,3.456,3.456,1.083
C2_RING_SIMPLE_CH8,2048,8,R1_EVENT_OVERLAP,NCCL,5,3466.464,4429.104,3463.024,4422.736,4434.976,962.640,962.640,4.412
C2_RING_SIMPLE_CH8,2048,16,COMM_ONLY,NCCL,5,1371.200,1374.640,1367.744,1370.176,1375.024,3.440,3.440,1.802
C2_RING_SIMPLE_CH8,2048,16,R1_EVENT_OVERLAP,NCCL,5,4026.752,4825.488,4023.200,4824.304,4835.040,798.736,798.736,4.294
C2_RING_SIMPLE_CH8,4096,2,COMM_ONLY,NCCL,5,628.720,632.128,625.264,631.376,633.152,3.408,3.408,0.578
C2_RING_SIMPLE_CH8,4096,2,R1_EVENT_OVERLAP,NCCL,5,688.000,8055.073,684.624,8051.664,8059.760,7367.073,7367.073,2.688
C2_RING_SIMPLE_CH8,4096,4,COMM_ONLY,NCCL,5,740.592,744.048,737.152,738.864,746.400,3.456,3.456,2.966
C2_RING_SIMPLE_CH8,4096,4,R1_EVENT_OVERLAP,NCCL,5,2530.368,8255.776,2526.896,8247.745,8258.128,5725.408,5725.408,4.107
C2_RING_SIMPLE_CH8,4096,8,COMM_ONLY,NCCL,5,951.536,954.928,948.064,950.224,958.048,3.392,3.392,2.555
C2_RING_SIMPLE_CH8,4096,8,R1_EVENT_OVERLAP,NCCL,5,6124.880,8381.951,6121.472,8371.888,8398.928,2257.071,2257.071,8.721
C2_RING_SIMPLE_CH8,4096,16,COMM_ONLY,NCCL,5,1401.696,1405.136,1398.240,1402.688,1405.888,3.440,3.440,1.314
C2_RING_SIMPLE_CH8,4096,16,R1_EVENT_OVERLAP,NCCL,5,7695.312,8673.647,7691.824,8669.807,8679.776,978.335,978.335,4.056
